a 一个  
able 能够的  
about 关于  
above 在…上方  
accept 接受  
accident 事故  
according 根据  
account 账户  
achieve 实现  
across 横过  
act 行动  
action 行动  
active 活跃的  
activity 活动  
actor 演员  
actually 实际上  
add 添加  
addition 增加  
address 地址  
admit 承认  
adult 成年人  
advance 前进  
advantage 优势  
adventure 冒险  
advertising 广告  
advice 建议  
afford 负担得起  
afraid 害怕的  
after 在…之后  
afternoon 下午  
again 再次  
against 反对  
age 年龄  
agency 机构  
agent 代理人  
ago 以前  
agree 同意  
agreement 协议  
ahead 在前面  
air 空气  
airport 机场  
album 专辑  
alcohol 酒精  
alive 活着的  
all 全部的  
allow 允许  
almost 几乎  
alone 独自的  
along 沿着  
already 已经  
also 也  
although 虽然  
always 总是  
amazing 惊人的  
among 在…之中  
amount 数量  
analysis 分析  
ancient 古老的  
and 和  
anger 愤怒  
animal 动物  
announce 宣布  
another 另一个  
answer 回答  
anxiety 焦虑  
any 任何的  
anyone 任何人  
anything 任何事物  
apartment 公寓  
appear 出现  
apple 苹果  
application 申请  
apply 应用  
appoint 任命  
approach 方法  
appropriate 适当的  
approval 批准  
area 区域  
argue 争论  
arm 手臂  
army 军队  
around 在周围  
arrange 安排  
arrive 到达  
art 艺术  
article 文章  
artist 艺术家  
as 作为  
ask 询问  
asleep 睡着的  
aspect 方面  
assume 假设  
at 在  
athlete 运动员  
atmosphere 气氛  
attach 附上  
attack 攻击  
attempt 尝试  
attention 注意力  
attitude 态度  
attract 吸引  
audience 观众  
author 作者
authority 权威  
available 可获得的  
average 平均的  
avoid 避免  
award 奖  
away 离开  
baby 婴儿  
back 背部  
background 背景  
bad 坏的  
bag 袋子  
bake 烘焙  
balance 平衡  
ball 球  
ban 禁止  
band 乐队  
bank 银行  
bar 酒吧  
barely 几乎不  
base 基础  
baseball 棒球  
basic 基本的  
basket 篮子  
bath 洗澡  
bathroom 浴室  
battery 电池  
battle 战斗  
be 是  
beach 海滩  
bear 熊  
beat 打败  
beautiful 美丽的  
because 因为  
become 成为  
bed 床  
bedroom 卧室  
beer 啤酒  
before 在…之前  
begin 开始  
behavior 行为  
behind 在…后面  
believe 相信  
bell 铃  
belong 属于  
below 在…下面  
belt 腰带  
bench 长凳  
bend 弯曲  
benefit 好处  
beside 在…旁边  
best 最好的  
better 更好的  
between 在…之间  
beyond 超出  
bicycle 自行车  
big 大的  
bike 自行车  
bill 账单  
billion 十亿  
bird 鸟  
birth 出生  
birthday 生日  
bite 咬  
black 黑色的  
blank 空白的  
blind 盲的  
block 街区  
blood 血液  
blow 吹  
blue 蓝色的  
board 木板  
boat 船  
body 身体  
boil 煮沸  
bomb 炸弹  
bone 骨头  
book 书  
boot 靴子  
border 边界  
boring 无聊的  
born 出生的  
borrow 借  
boss 老板  
both 两者  
bother 打扰  
bottle 瓶子  
bottom 底部  
bowl 碗  
box 盒子  
boy 男孩  
boyfriend 男朋友  
brain 大脑  
branch 树枝  
brand 品牌  
brave 勇敢的  
bread 面包  
break 打破  
breakfast 早餐  
breath 呼吸  
breathe 呼吸  
brick 砖  
bridge 桥  
brief 简短的  
bright 明亮的
bring 带来  
broad 宽广的  
broadcast 广播  
broken 破碎的  
brother 兄弟  
brown 棕色的  
brush 刷子  
budget 预算  
build 建造  
building 建筑  
bullet 子弹  
bunch 一束  
burn 燃烧  
bury 埋葬  
bus 公交车  
business 商业  
busy 忙碌的  
but 但是  
butter 黄油  
button 按钮  
buy 购买  
buyer 买家  
by 通过  
cabin 小屋  
cabinet 橱柜  
cable 电缆  
cake 蛋糕  
calculate 计算  
call 打电话  
calm 平静的  
camera 相机  
camp 营地  
campaign 活动  
campus 校园  
can 能够  
cancel 取消  
cancer 癌症  
candidate 候选人  
candle 蜡烛  
candy 糖果  
cap 帽子  
capable 有能力的  
capital 首都  
captain 船长  
capture 捕获  
car 汽车  
card 卡片  
care 关心  
career 职业  
careful 小心的  
careless 粗心的  
carry 携带  
case 案例  
cash 现金  
casino 赌场  
cast 投掷  
cat 猫  
catch 抓住  
category 类别  
cattle 牛  
cause 原因  
ceiling 天花板  
celebrate 庆祝  
celebrity 名人  
cell 细胞  
center 中心  
central 中央的  
century 世纪  
ceremony 仪式  
certain 确定的  
certainly 当然  
chain 链条  
chair 椅子  
chairman 主席  
challenge 挑战  
champion 冠军  
chance 机会  
change 改变  
channel 频道  
chapter 章节  
character 角色  
charge 收费  
charity 慈善  
charm 魅力  
chart 图表  
chase 追逐  
cheap 便宜的  
cheat 欺骗  
check 检查  
cheek 脸颊  
cheer 欢呼  
cheese 奶酪  
chef 厨师  
chemical 化学的  
chemistry 化学  
cheque 支票  
chess 国际象棋  
chest 胸部  
chicken 鸡  
chief 主要的  
child 孩子  
childhood 童年  
chill 寒冷  
chimney 烟囱  
chin 下巴  
China 中国  
Chinese 中国的  
chocolate 巧克力  
choice 选择  
choose 选择
